unique_id,new_block,now_trt,future,old_block,indiv,cross,colors,first_flower,wilt1,wilt2,wilt3,wilt4,wilt5,wilt6,wilt7,wilt8,wilt9,dead1,dead2,dead3
318,11,water,late drought,27,4,B723-3xT2930-2,M_Y,24-Apr,,,,,24-Apr,,,,,1,,
319,11,water,late drought,11,7,T2420-1xT3105-1,Y_Y,25-Apr,,,,,24-Apr,,,,,1,,
321,11,water,water,46,12,T2311-6xL1502-12,Y_Y,19-Apr,,,,,24-Apr,,,,,,,
322,11,water,water,24,3,B2212-3xT2930-2,M_Y,07-may,,,,,24-Apr,,14-may,,,,,
323,11,water,water,30,1,V2519-8xL1502-12,Y_Y,24-Apr,,,,,24-Apr,,14-may,,,,,
325,10,drought,early drought,11,4,T2420-1xT3105-1,Y_Y,,,26-mar,,8-Apr,24-Apr,,,,,,1,
326,11,water,late drought,16,1,B2913-2xP2409-9,M_M,02-may,,,,,,25-Apr,,,,,,
328,11,water,late drought,19,3,P513-10xB2324-3,M_M,,,,,,,25-Apr,,,,,,
329,11,water,water,31,4,T2803-3xL2221-11,Y_Y,20-may,,,,,24-Apr,,,,,,,
332,12,water,water,22,10,B1109-1xB1503-3,M_M,19-Apr,,,,,24-Apr,,,,,,,
333,10,drought,early drought,33,1,B2311-1xT2829-3,M_Y,,,,,9-Apr,24-Apr,,,,,,,
335,12,water,late drought,9,8,B1427-3xB3018-3,M_M,,,,,,24-Apr,,,,,1,,
339,12,water,water,11,9,T2420-1xT3105-1,Y_Y,,,,,,24-Apr,,,,,,,
342,12,water,water,42,10,B2324-4xP513-10,M_M,02-may,,,,,24-Apr,02-may,14-may,,,,,
348,12,water,water,12,11,T2315-2xT829-3,Y_Y,,,,,,24-Apr,,,,,,,
350,12,water,late drought,14,10,B711-1xB1207-3,M_M,,,,,,24-Apr,,,,,1,,
352,12,water,water,45,5,T515-6xL624-9,Y_Y,14-may,,,,,24-Apr,02-may,,,,,,
